pool,task,task_type,candidate_count,frequency_level,selected_value,selected_count,selected_proportion,n_outer_units
Homogeneous Morgan,esol,regression,8,candidate,hom::order03,10,0.6666666666666666,15
Homogeneous Morgan,esol,regression,8,candidate,hom::order05,5,0.3333333333333333,15
Homogeneous Morgan,esol,regression,8,learner_family,linear,10,0.6666666666666666,15
Homogeneous Morgan,esol,regression,8,learner_family,bagging,5,0.3333333333333333,15
Homogeneous Morgan,esol,regression,8,representation,morgan512,15,1.0,15
Homogeneous Morgan,esol,regression,16,candidate,hom::order03,10,0.6666666666666666,15
Homogeneous Morgan,esol,regression,16,candidate,hom::order14,5,0.3333333333333333,15
Homogeneous Morgan,esol,regression,16,learner_family,linear,10,0.6666666666666666,15
Homogeneous Morgan,esol,regression,16,learner_family,boosting,5,0.3333333333333333,15
Homogeneous Morgan,esol,regression,16,representation,morgan512,15,1.0,15
Homogeneous Morgan,esol,regression,32,candidate,hom::order03,10,0.6666666666666666,15
Homogeneous Morgan,esol,regression,32,candidate,hom::order14,5,0.3333333333333333,15
Homogeneous Morgan,esol,regression,32,learner_family,linear,10,0.6666666666666666,15
Homogeneous Morgan,esol,regression,32,learner_family,boosting,5,0.3333333333333333,15
Homogeneous Morgan,esol,regression,32,representation,morgan512,15,1.0,15
Modern-augmented,esol,regression,4,candidate,chemberta_mtr__linear,10,0.6666666666666666,15
Modern-augmented,esol,regression,4,candidate,maccs__linear,5,0.3333333333333333,15
Modern-augmented,esol,regression,4,learner_family,linear,15,1.0,15
Modern-augmented,esol,regression,4,representation,chemberta_mtr,10,0.6666666666666666,15
Modern-augmented,esol,regression,4,representation,maccs,5,0.3333333333333333,15
Modern-augmented,esol,regression,8,candidate,rdkit2d__linear,13,0.8666666666666667,15
Modern-augmented,esol,regression,8,candidate,chemberta_mtr__linear,2,0.1333333333333333,15
Modern-augmented,esol,regression,8,learner_family,linear,15,1.0,15
Modern-augmented,esol,regression,8,representation,rdkit2d,13,0.8666666666666667,15
Modern-augmented,esol,regression,8,representation,chemberta_mtr,2,0.1333333333333333,15
Modern-augmented,esol,regression,16,candidate,rdkit2d__random_forest,14,0.9333333333333332,15
Modern-augmented,esol,regression,16,candidate,chemberta_mtr__linear_alt,1,0.0666666666666666,15
Modern-augmented,esol,regression,16,learner_family,random_forest,14,0.9333333333333332,15
Modern-augmented,esol,regression,16,learner_family,linear_alt,1,0.0666666666666666,15
Modern-augmented,esol,regression,16,representation,rdkit2d,14,0.9333333333333332,15
Modern-augmented,esol,regression,16,representation,chemberta_mtr,1,0.0666666666666666,15
Modern-augmented,esol,regression,32,candidate,rdkit2d__lightgbm,10,0.6666666666666666,15
Modern-augmented,esol,regression,32,candidate,multiview__lightgbm,5,0.3333333333333333,15
Modern-augmented,esol,regression,32,learner_family,lightgbm,15,1.0,15
Modern-augmented,esol,regression,32,representation,rdkit2d,10,0.6666666666666666,15
Modern-augmented,esol,regression,32,representation,multiview,5,0.3333333333333333,15
Classical multiview,lipo,regression,4,candidate,rdkit2d__linear,15,1.0,15
Classical multiview,lipo,regression,4,learner_family,linear,15,1.0,15
Classical multiview,lipo,regression,4,representation,rdkit2d,15,1.0,15
