task,seed,outer_fold,left_outer_utility,left_representation,left_family,right_outer_utility,right_representation,right_family,full_utility_max,full_utility_min,full_utility_range,raw_utility_gain,normalized_utility_gain,comparison
tdc_caco2_wang,53,2,-0.4401240882137068,multiview,lightgbm,-0.6583375235123611,morgan512,random_forest,-0.4401240882137068,-1.2511676794586275,0.8110435912449208,0.21821343529865428,0.26905265962795544,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,53,3,-0.4580510531781468,multiview,random_forest,-0.5113633120227917,morgan512,lightgbm,-0.4580510531781468,-1.3645124333845986,0.9064613802064518,0.05331225884464491,0.05881360200089576,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,71,1,-0.4677203415560546,rdkit2d,lightgbm,-0.5612774773019102,morgan512,lightgbm,-0.4677203415560546,-1.2506871884640738,0.7829668469080192,0.09355713574585567,0.11949054562823208,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,71,2,-0.4401240882137068,multiview,lightgbm,-0.6629539451239785,morgan512,lightgbm,-0.4401240882137068,-1.2511676794586275,0.8110435912449208,0.22282985691027174,0.2747446121462306,attainable multiview gain vs Morgan-only oracle
tdc_caco2_wang,71,3,-0.4513019057016775,multiview,random_forest,-0.5113633120227917,morgan512,lightgbm,-0.4513019057016775,-1.3645124333845986,0.9132105276829211,0.06006140632111423,0.06576950714038236,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,11,1,0.9922986773815504,rdkit2d,linear,0.9114347898878286,morgan512,random_forest,0.9922986773815504,0.8886656621463251,0.10363301523522528,0.08086388749372186,0.7802907915993542,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,11,2,0.977391304347826,multiview,random_forest,0.9428571428571428,morgan512,lightgbm,0.977391304347826,0.884223602484472,0.09316770186335399,0.03453416149068311,0.3706666666666656,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,11,3,0.9712025316455696,maccs,random_forest,0.9373417721518988,morgan512,lightgbm,0.9712025316455696,0.8566455696202532,0.1145569620253164,0.03386075949367073,0.29558011049723637,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,23,1,0.980896686159844,maccs,linear,0.8500974658869397,morgan512,lightgbm,0.980896686159844,0.7594541910331385,0.22144249512670555,0.13079922027290436,0.5906690140845068,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,23,2,0.9780571992110454,multiview,linear,0.939595660749507,morgan512,random_forest,0.9780571992110454,0.9053254437869824,0.07273175542406296,0.038461538461538436,0.5288135593220347,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,23,3,0.9857142857142858,rdkit2d,lightgbm,0.9077922077922078,morgan512,lightgbm,0.9857142857142858,0.8646753246753247,0.12103896103896106,0.07792207792207795,0.6437768240343349,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,37,1,0.9752486187845304,multiview,linear,0.8718232044198895,morgan512,linear,0.9752486187845304,0.758232044198895,0.2170165745856354,0.10342541436464092,0.47657841140529544,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,37,2,0.9907457811649428,multiview,lightgbm,0.9615314824895664,morgan512,random_forest,0.9907457811649428,0.8998366902558519,0.09090909090909094,0.029214298675376393,0.3213572854291402,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,37,3,0.9717105263157896,multiview,lightgbm,0.9078947368421052,morgan512,lightgbm,0.9717105263157896,0.8921052631578947,0.07960526315789485,0.06381578947368438,0.8016528925619845,attainable multiview gain vs Morgan-only oracle
tdc_hia_hou,53,1,0.9539641943734016,rdkit2d,random_forest,0.8739495798319328,morgan512,lightgbm,0.9539641943734016,0.8297405918889296,0.12422360248447206,0.08001461454146885,0.6441176470588242,attainable multiview gain vs Morgan-only oracle
