endpoint,repeat,repeat_seed,outer_fold,pool_size,signal_correlation,simulation_replicates,top3_hit,chance_adjusted_hit,mrr,fixed_normalized_regret
bace,2,23,2,8,0.1,500,0.434,0.0944,0.37165952380952383,0.2549633750579507
bace,2,23,2,8,0.25,500,0.472,0.15519999999999998,0.39801904761904766,0.22743492946552726
bace,2,23,2,8,0.5,500,0.634,0.41440000000000005,0.5006761904761905,0.12922975031459003
bace,2,23,2,8,0.75,500,0.744,0.5904,0.5690761904761905,0.09005457315053937
bace,2,23,2,8,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,2,16,0.0,500,0.178,-0.011692307692307724,0.2034331363081363,0.29059381415987784
bace,2,23,2,16,0.1,500,0.192,0.005538461538461504,0.21517468919968918,0.24073766474600933
bace,2,23,2,16,0.25,500,0.264,0.09415384615384613,0.26945954878454875,0.1875557321676929
bace,2,23,2,16,0.5,500,0.328,0.1729230769230769,0.3150945970695971,0.13547638916484497
bace,2,23,2,16,0.75,500,0.51,0.3969230769230769,0.42099806304806303,0.10260308629710538
bace,2,23,2,16,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,2,32,0.0,500,0.088,-0.006344827586206893,0.12089071642780196,0.27885038744287666
bace,2,23,2,32,0.1,500,0.126,0.035586206896551724,0.15466551178970767,0.23722975031458998
bace,2,23,2,32,0.25,500,0.136,0.04662068965517242,0.1629502188180817,0.18942075634147904
bace,2,23,2,32,0.5,500,0.212,0.13048275862068962,0.20749034424992482,0.15836585204318104
bace,2,23,2,32,0.75,500,0.36,0.29379310344827586,0.32173808275211513,0.12351374263196177
bace,2,23,2,32,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,3,4,0.0,500,0.738,-0.048,0.5231666666666667,0.25858465909090705
bace,2,23,3,4,0.1,500,0.8,0.2,0.5436666666666666,0.21895909090908924
bace,2,23,3,4,0.25,500,0.844,0.376,0.5836666666666668,0.18648749999999867
bace,2,23,3,4,0.5,500,0.952,0.808,0.679,0.1230451704545446
bace,2,23,3,4,0.75,500,0.986,0.944,0.7878333333333334,0.06941761363636319
bace,2,23,3,4,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,3,8,0.0,500,0.374,-0.0016000000000000014,0.3368261904761905,0.3229164772727265
bace,2,23,3,8,0.1,500,0.39,0.024,0.3519809523809524,0.2545386363636358
bace,2,23,3,8,0.25,500,0.482,0.1712,0.38925714285714286,0.22432727272727204
bace,2,23,3,8,0.5,500,0.582,0.3312,0.4744666666666667,0.1432377840909084
bace,2,23,3,8,0.75,500,0.758,0.6127999999999999,0.5454309523809525,0.07672585227272642
bace,2,23,3,8,1.0,1,1.0,1.0,1.0,0.0
bace,2,23,3,16,0.0,500,0.142,-0.05600000000000003,0.18070921300921303,0.24727982954545366
bace,2,23,3,16,0.1,500,0.238,0.06215384615384613,0.22137759185259187,0.21435198863636282
