dataset,task_type,seed,outer_fold,pool_size,selected_candidate,fixed_k32_reference_candidate,k_dependent_reference_candidate,same_fold_oracle_candidate,selected_utility,fixed_k32_reference_utility,k_dependent_reference_utility,same_fold_oracle_utility,fixed_k32_gap,k_dependent_crossfit_gap,same_fold_opportunity_gap,validation_audit_spearman
tdc_hia_hou,classification,83,2,8,logreg_l2_c1,et_90_d12,rf_90_d12,logreg_l2_c10,0.8471531676022453,0.8118684843624699,0.8354450681635927,0.8529270248596632,-0.035284683239775405,-0.011708099438652697,0.005773857257417858,0.8333333333333335
tdc_hia_hou,classification,83,2,16,logreg_l2_c1,et_90_d12,et_90_d12,logreg_l2_c10,0.8471531676022453,0.8118684843624699,0.8118684843624699,0.8529270248596632,-0.035284683239775405,-0.035284683239775405,0.005773857257417858,0.8962474832562588
tdc_hia_hou,classification,83,2,32,logreg_l2_c1,et_90_d12,et_90_d12,lgbm_80_bag0.8,0.8471531676022453,0.8118684843624699,0.8118684843624699,0.8569366479550922,-0.035284683239775405,-0.035284683239775405,0.009783480352846818,0.46393547990651535
tdc_hia_hou,classification,83,3,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.8852678571428572,0.8852678571428572,0.8852678571428572,0.8852678571428572,0.0,0.0,0.0,1.0
tdc_hia_hou,classification,83,3,8,logreg_l2_c0.1,et_90_d12,rf_90_d12,logreg_l2_c0.1,0.8852678571428572,0.8852678571428572,0.8620535714285714,0.8852678571428572,0.0,-0.023214285714285743,0.0,0.8095238095238096
tdc_hia_hou,classification,83,3,16,logreg_l2_c0.1,et_90_d12,et_90_d12,logreg_l2_c0.1,0.8852678571428572,0.8852678571428572,0.8852678571428572,0.8852678571428572,0.0,0.0,0.0,0.8462106779513116
tdc_hia_hou,classification,83,3,32,xgb_60_d6,et_90_d12,et_90_d12,logreg_l2_c0.1,0.8578125,0.8852678571428572,0.8852678571428572,0.8852678571428572,0.027455357142857184,0.027455357142857184,0.027455357142857184,0.16808725210362488
tdc_hia_hou,classification,97,1,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l1_c1,0.9,0.9333333333333332,0.9,0.9026570048309178,0.033333333333333215,0.0,0.0026570048309177974,-0.19999999999999998
tdc_hia_hou,classification,97,1,8,rf_90_d12,et_90_d12,rf_90_d12,rf_90_d12,0.9193236714975844,0.9333333333333332,0.9193236714975844,0.9193236714975844,0.01400966183574881,0.0,0.0,0.30952380952380953
tdc_hia_hou,classification,97,1,16,et_60_sqrt,et_90_d12,et_90_d12,et_90_d12,0.8919082125603864,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0414251207729468,0.0414251207729468,0.0414251207729468,0.19705882352941176
tdc_hia_hou,classification,97,1,32,et_60_sqrt,et_90_d12,et_90_d12,et_90_d12,0.8919082125603864,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.0414251207729468,0.0414251207729468,0.0414251207729468,0.08120990053961881
tdc_hia_hou,classification,97,2,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.9450617283950616,0.9530864197530864,0.9450617283950616,0.9450617283950616,0.00802469135802475,0.0,0.0,1.0
tdc_hia_hou,classification,97,2,8,rf_120_d20_leaf2,et_90_d12,rf_90_d12,logreg_l2_c0.1,0.9391975308641975,0.9530864197530864,0.940432098765432,0.9450617283950616,0.01388888888888884,0.0012345679012344402,0.00586419753086409,0.6428571428571429
tdc_hia_hou,classification,97,2,16,et_120_d20_leaf2,et_90_d12,et_90_d12,et_90_d12,0.9515432098765432,0.9530864197530864,0.9530864197530864,0.9530864197530864,0.0015432098765432167,0.0015432098765432167,0.0015432098765432167,0.7823529411764706
tdc_hia_hou,classification,97,2,32,et_120_d20_leaf2,et_90_d12,et_90_d12,et_90_d12,0.9515432098765432,0.9530864197530864,0.9530864197530864,0.9530864197530864,0.0015432098765432167,0.0015432098765432167,0.0015432098765432167,0.6207149508513528
tdc_hia_hou,classification,97,3,4,logreg_l2_c1,et_90_d12,logreg_l2_c0.1,logreg_l2_c10,0.8725,0.83375,0.8512500000000001,0.8773214285714286,-0.03875000000000006,-0.02124999999999999,0.004821428571428532,0.7999999999999999
tdc_hia_hou,classification,97,3,8,logreg_l2_c1,et_90_d12,rf_90_d12,logreg_l2_c10,0.8725,0.83375,0.8421428571428572,0.8773214285714286,-0.03875000000000006,-0.03035714285714286,0.004821428571428532,0.7380952380952381
tdc_hia_hou,classification,97,3,16,logreg_l2_c1,et_90_d12,et_90_d12,logreg_l2_c10,0.8725,0.83375,0.83375,0.8773214285714286,-0.03875000000000006,-0.03875000000000006,0.004821428571428532,0.4794117647058824
tdc_hia_hou,classification,97,3,32,logreg_l2_c1,et_90_d12,et_90_d12,logreg_l2_c10,0.8725,0.83375,0.83375,0.8773214285714286,-0.03875000000000006,-0.03875000000000006,0.004821428571428532,0.16239002932551316
tdc_hia_hou,classification,113,1,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c0.1,0.9429223744292236,0.951402478799739,0.9429223744292236,0.9429223744292236,0.008480104370515495,0.0,0.0,1.0
tdc_hia_hou,classification,113,1,8,logreg_l2_c0.1,et_90_d12,rf_90_d12,logreg_l2_c0.1,0.9429223744292236,0.951402478799739,0.934116112198304,0.9429223744292236,0.008480104370515495,-0.008806262230919515,0.0,0.8095238095238096
tdc_hia_hou,classification,113,1,16,logreg_l2_c0.1,et_90_d12,et_90_d12,histgb_lr0.1,0.9429223744292236,0.951402478799739,0.951402478799739,0.9602087410306588,0.008480104370515495,0.008480104370515495,0.017286366601435232,0.44705882352941173
