task,task_type,matrix_level,transformation,omission_type,omitted,n_matrix_rows,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
bace,classification,inner,within_unit_rank,inner_fold,2,60,16.34920968616993,11.145584623710075,-0.0658043548663057,24.442725731671494,18.361002479725656,-0.0414619843499581,0.3699203580948985
bace,classification,inner,within_unit_rank,inner_fold,3,60,15.498510258679541,10.016146801705164,-0.10202129089157405,22.75940478666571,15.877710072460154,-0.06939188371672164,0.31982938943137074
bbbp,classification,outer,raw,seed,11,27,1.7781543458571656,1.240233795154879,0.9090954409848552,2.3735134541574383,1.3768689420865272,0.8608911435459801,0.05302446285139613
bbbp,classification,outer,raw,seed,23,27,1.7400221193529624,1.229618247307973,0.9128389224290638,2.262529643870561,1.3494413977837707,0.8696711024149715,0.047289635611968604
bbbp,classification,outer,raw,seed,37,27,1.7611787105427943,1.235890757670838,0.9123624494940706,2.305982106081685,1.3606345528246873,0.8677695524334732,0.048876295912140814
bbbp,classification,outer,raw,seed,53,27,1.795051953558239,1.2442732172682793,0.9053946443779908,2.3915880796648072,1.3810854475843377,0.8574670127730846,0.052935625257461774
bbbp,classification,outer,raw,seed,71,27,1.6942932128863009,1.2114884583581038,0.9174096840277277,2.1724734724910353,1.3211650430707933,0.8769392494185565,0.04411380794618693
bbbp,classification,outer,raw,seed,83,27,1.76335714466017,1.2354577675126828,0.9080176535988401,2.373680677643271,1.3757074229843596,0.8585251219262755,0.05450613374795719
bbbp,classification,outer,raw,seed,97,27,1.8490951229363002,1.26691693488585,0.9017251940782873,2.39922976131896,1.3919735249978349,0.8585140092265544,0.04792056952107464
bbbp,classification,outer,raw,seed,113,27,1.7547057917638456,1.232810725629113,0.9116711280322429,2.275934845635325,1.3522358098972398,0.86879172160209,0.04703385366903525
bbbp,classification,outer,raw,seed,127,27,1.7482748282004683,1.233962355504047,0.9133699427656178,2.2989976018741056,1.3600954414691238,0.8682022343446678,0.04945171316256114
bbbp,classification,outer,raw,seed,149,27,1.8397528241621028,1.2637826198841313,0.9023535550519644,2.411765214115319,1.3940756469688376,0.8573285635752557,0.04989728385800612
