dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
bbbp,113,3,8,pr_auc,1,0.008069175006056306,0.0017013612735443662,0.05913978494623662,-0.015490766105737852
bbbp,113,3,16,pr_auc,1,-0.0022362609716556348,-0.004564776559978445,0.09677419354838712,-0.04000111813048579
bbbp,113,3,32,pr_auc,1,-0.0022362609716556348,-0.004564776559978445,0.09677419354838712,-0.04000111813048579
bbbp,127,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,1,8,pr_auc,1,0.004135519652761044,0.0018390966347981985,0.00512820512820511,-0.013109878627119986
bbbp,127,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,127,3,8,pr_auc,1,0.024364921211715518,0.016466511145284413,0.09774436090225558,-0.0012391781234823984
bbbp,127,3,16,pr_auc,1,0.0020011052129209617,0.003099648401479027,0.022556390977443663,0.0023695095199022242
bbbp,127,3,32,pr_auc,1,0.0020011052129209617,0.003099648401479027,0.022556390977443663,0.0023695095199022242
bbbp,149,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,1,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,1,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,1,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,2,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,149,3,32,pr_auc,0,0.0,0.0,0.0,0.0
clintox,11,1,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,11,1,8,pr_auc,1,-0.04612159329140464,-0.027412210772809698,-0.03703703703703698,0.00034940600978339287
clintox,11,1,16,pr_auc,1,-0.034141958670260486,-0.0508219490584087,-0.03703703703703698,0.011131077168813008
clintox,11,1,32,pr_auc,1,-0.04522312069481893,-0.0052812610451479225,-0.14814814814814814,-0.045772187281621246
clintox,11,2,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,11,2,8,pr_auc,0,0.0,0.0,0.0,0.0
clintox,11,2,16,pr_auc,0,0.0,0.0,0.0,0.0
clintox,11,2,32,pr_auc,1,0.04509976924121084,0.04728922375788208,0.1132075471698114,0.0700929822179992
clintox,11,3,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,11,3,8,pr_auc,1,-0.06012613378684806,-0.0007364480017587605,-0.09375,-0.026466836734693855
clintox,11,3,16,pr_auc,1,-0.015164399092970515,0.05644576465947215,0.03125,-0.06600765306122447
clintox,11,3,32,pr_auc,1,-0.012825963718820943,0.03172125946477977,-0.03125,-0.07004676870748305
clintox,23,1,4,pr_auc,0,0.0,0.0,0.0,0.0
clintox,23,1,8,pr_auc,1,-0.0404459424423127,-0.03724844009562789,-0.034482758620689724,-0.007216316653703259
clintox,23,1,16,pr_auc,1,-0.0404459424423127,-0.03724844009562789,-0.034482758620689724,-0.007216316653703259
