task,candidate_count,comparison,metric,mean_paired_difference,positive_seed_means,negative_seed_means
lipo,16,Classical multiview - Homogeneous Morgan,selected_model_gain,0.24635196614108085,5,0
lipo,16,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0,0,0
lipo,16,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.16410256410256413,2,0
lipo,16,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.2958438194512324,5,0
lipo,16,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.16892380746828595,5,0
lipo,16,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.12152958579131475,5,0
lipo,16,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.04146411636715393,5,0
lipo,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,-0.32820512820512826,0,3
lipo,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.3935527815897176,0,5
lipo,32,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.22390902628700132,5,0
lipo,32,Classical multiview - Homogeneous Morgan,selected_model_gain,0.21986774526826366,5,0
lipo,32,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.00036425833104771074,2,3
lipo,32,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.6620689655172414,5,0
lipo,32,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.5471748567525923,5,0
lipo,32,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.21972144551713163,5,0
lipo,32,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.22746032696110113,5,0
lipo,32,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,-0.007228323361789743,0,5
lipo,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.6620689655172414,5,0
lipo,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.7762247967885609,5,0
tdc_caco2_wang,4,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.08192423289336463,5,0
tdc_caco2_wang,4,Classical multiview - Homogeneous Morgan,selected_model_gain,0.08192423289336463,5,0
tdc_caco2_wang,4,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0,0,0
tdc_caco2_wang,4,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
tdc_caco2_wang,4,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.0,0,0
tdc_caco2_wang,4,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,-0.009426799124584202,2,3
tdc_caco2_wang,4,Modern-augmented - Homogeneous Morgan,selected_model_gain,-0.021353748073706453,0,5
tdc_caco2_wang,4,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.0,0,0
tdc_caco2_wang,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
tdc_caco2_wang,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.3942028985507247,0,4
tdc_caco2_wang,8,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.10175605611736709,5,0
tdc_caco2_wang,8,Classical multiview - Homogeneous Morgan,selected_model_gain,0.0917096264944559,5,0
tdc_caco2_wang,8,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,6.398136128486685e-05,2,3
tdc_caco2_wang,8,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.21333333333333332,2,0
tdc_caco2_wang,8,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.05889865524753962,3,2
tdc_caco2_wang,8,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.06935386115031075,5,0
tdc_caco2_wang,8,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.09864409934346681,5,0
tdc_caco2_wang,8,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,-0.01671986645010218,0,5
